"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"HOUSEPART";"MF";"MP";"MPN";"PACKAGE";"POPULATE";"PRICE";"PURCHASE-URL";"TOLERANCE";"URL";"VOLTAGE";
"1";"0.1";"R_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R_R0603";"R0603";"R2, R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"220uF";"CAPACITOR_P_10MM";"CP10MM";"C1";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"1";"292303-1";"292303-1";"TE_292303-1";"J1";"CONN USB RECEPT R/A TYPE A 4POS Check prices";"In Stock";"292303-1";" Conn";" Data";" USB";" Recept";" 2.0";" 4 Pos";" 1 Port";" Rt Angle";" A Ser";" Tin over Copper ";"";"TE Connectivity";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LED";"LED";"EIA-STD";"BLUE, GREEN, RED";"LTST-C191 TBKT LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1, R3";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1, SW2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SPI_LCD_DISPLAY";"SPI_LCD_DISPLAY";"SPI_LCD_DISPLAY";"J2";"2.8" Adafruit SPI Display";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
